Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minutes
Monday,18-30,Male,Above high school,1-2yr,Automobile,Owner,Above 10yr,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,17,2
Monday,31-50,Male,Junior high school,Above 10yr,Public (> 45 seats),Owner,5-10yrs,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,17,2
Monday,18-30,Male,Junior high school,1-2yr,Lorry (41?100Q),Owner,Unknown,  Recreational areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Serious Injury,17,2
Sunday,18-30,Male,Junior high school,5-10yr,Public (> 45 seats),Governmental,Unknown,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,1,6
Sunday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,5-10yrs, Industrial areas,other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,1,6
Friday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,Driver or rider,Male,31-50,3,Not a Pedestrian,Overloading,Slight Injury,14,15
Wednesday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,Other,Slight Injury,17,30
Friday,18-30,Male,Junior high school,2-5yr,Automobile,Governmental,Above 10yr,Residential areas,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,17,20
Friday,18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,1-2yr, Industrial areas,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,Crossing from driver's nearside,Changing lane to the right,Slight Injury,17,20
Friday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,Passenger,Male,18-30,3,Not a Pedestrian,Moving Backward,Serious Injury,17,20
Saturday,18-30,Male,Above high school,1-2yr,Public (13?45 seats),Owner,Unknown,Residential areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,14,40
Saturday,31-50,Male,Above high school,No Licence,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Serious Injury,14,40
Thursday,18-30,Male,Junior high school,1-2yr,Public (> 45 seats),Owner,2-5yrs,Office areas,Double carriageway (median),Escarpments,No junction,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17,45
Thursday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Above 10yr,Office areas,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,17,45
Thursday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,1-2yr,Office areas,Undivided Two way,Escarpments,No junction,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Serious Injury,17,45
Monday,18-30,Female,Junior high school,Above 10yr,Lorry (11?40Q),Owner,Unknown,Office areas,One way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,22,45
Monday,18-30,Male,Junior high school,5-10yr,Public (13?45 seats),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,22,45
